channel,band,comparison,beta,p,p_fdr,significant
C2,Delta,ADHD vs TD,0.5196112064036607,0.9999997023131728,0.9999999352048242,False
C2,Delta,COM vs TD,-3.601388528112971,0.9999978426080325,0.9999999352048242,False
C2,Theta,ADHD vs TD,0.07721291718196495,0.47769617190420344,0.9999999352048242,False
C2,Theta,COM vs TD,-0.014932120874423064,0.8875678038454674,0.9999999352048242,False
C2,Alpha,ADHD vs TD,-0.07469915261795267,0.6157163585523191,0.9999999352048242,False
C2,Alpha,COM vs TD,-0.03746337343521313,0.7954670772045273,0.9999999352048242,False
C2,Beta,ADHD vs TD,0.007107041454885945,0.9492125295166506,0.9999999352048242,False
C2,Beta,COM vs TD,0.03306704070816461,0.7602307027737698,0.9999999352048242,False
C2,Gamma,ADHD vs TD,0.07216825967316304,0.6062057906880269,0.9999999352048242,False
C2,Gamma,COM vs TD,-0.0408686727707526,0.7637308836340986,0.9999999352048242,False
C3,Delta,ADHD vs TD,0.05492191913067186,0.6982659673283329,0.9999999352048242,False
C3,Delta,COM vs TD,0.015901552851223855,0.9079979201253429,0.9999999352048242,False
C3,Theta,ADHD vs TD,0.06653897833027296,0.5874790580618552,0.9999999352048242,False
C3,Theta,COM vs TD,0.0763473481512278,0.5215389267060996,0.9999999352048242,False
C3,Alpha,ADHD vs TD,-0.0027025954107651167,0.9832311861526322,0.9999999352048242,False
C3,Alpha,COM vs TD,0.023388950682977413,0.8514204154091276,0.9999999352048242,False
C3,Beta,ADHD vs TD,0.13392921523512105,0.4611780450635712,0.9999999352048242,False
C3,Beta,COM vs TD,0.05751485049070853,0.7445098994668351,0.9999999352048242,False
C3,Gamma,ADHD vs TD,0.17517093712538706,0.44550302308672174,0.9999999352048242,False
C3,Gamma,COM vs TD,-0.03423085479605256,0.8779844058107918,0.9999999352048242,False
C4,Delta,ADHD vs TD,-0.032041373689273435,0.8143102209989551,0.9999999352048242,False
C4,Delta,COM vs TD,-0.019685162517081384,0.8818904768935097,0.9999999352048242,False
C4,Theta,ADHD vs TD,0.06647337548907968,0.6555358496750374,0.9999999352048242,False
C4,Theta,COM vs TD,0.04588731529290755,0.7511637207627084,0.9999999352048242,False
C4,Alpha,ADHD vs TD,-0.04556033015480694,0.7714589393931126,0.9999999352048242,False
C4,Alpha,COM vs TD,0.02704242407303419,0.8590866484833282,0.9999999352048242,False
C4,Beta,ADHD vs TD,-0.06529240072847872,0.5623086870938299,0.9999999352048242,False
C4,Beta,COM vs TD,-0.047407584831999174,0.6648446831646136,0.9999999352048242,False
C4,Gamma,ADHD vs TD,-0.03879983742991454,0.6919418333691197,0.9999999352048242,False
C4,Gamma,COM vs TD,-0.15158327646769934,0.11098081505179046,0.9999999352048242,False
C5,Delta,ADHD vs TD,0.05453121839430314,0.6773965142131569,0.9999999352048242,False
C5,Delta,COM vs TD,0.041243525020109036,0.7459614455298265,0.9999999352048242,False
C5,Theta,ADHD vs TD,0.13470061315423557,0.3052604376881579,0.9999999352048242,False
C5,Theta,COM vs TD,0.11589391673048453,0.3636996559823683,0.9999999352048242,False
C5,Alpha,ADHD vs TD,0.08465947081022171,0.5173930424879538,0.9999999352048242,False
C5,Alpha,COM vs TD,0.08757811423456542,0.4904386325672432,0.9999999352048242,False
C5,Beta,ADHD vs TD,0.14751155993676374,0.2757574221694705,0.9999999352048242,False
C5,Beta,COM vs TD,0.10188708649203537,0.4382080438657938,0.9999999352048242,False
C5,Gamma,ADHD vs TD,0.21571254139337745,0.15101767275389352,0.9999999352048242,False
C5,Gamma,COM vs TD,-0.006155388136440748,0.9663471789953211,0.9999999352048242,False
C6,Delta,ADHD vs TD,0.041572900155226945,0.7494048021707993,0.9999999352048242,False
C6,Delta,COM vs TD,-0.023392875196673893,0.8531855653738868,0.9999999352048242,False
C6,Theta,ADHD vs TD,0.07405707137309853,0.5368434278200032,0.9999999352048242,False
C6,Theta,COM vs TD,0.014411579333602207,0.9015137231982054,0.9999999352048242,False
C6,Alpha,ADHD vs TD,-0.04872312433189522,0.7415517041301654,0.9999999352048242,False
C6,Alpha,COM vs TD,-0.01311789638114019,0.9271486764201099,0.9999999352048242,False
C6,Beta,ADHD vs TD,0.0003656878170859141,0.9968503393757047,0.9999999352048242,False
C6,Beta,COM vs TD,-0.023165892918239325,0.7967955587462405,0.9999999352048242,False
C6,Gamma,ADHD vs TD,0.10833114923066983,0.32225734083900337,0.9999999352048242,False
C6,Gamma,COM vs TD,-0.12264501322664867,0.24859137978665757,0.9999999352048242,False
CP1,Delta,ADHD vs TD,-0.053847690118541534,0.6920535387842814,0.9999999352048242,False
